Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,DRAFT,Nerc Reference Architecture,
2,Page,,,,,,,,,,Infra Hardware/Network,
3,Swim Lane,Flowchart Shapes,2,,,,,,,,Infra Cluster,
4,SVGPathBlock2,,2,3:1,,,,,,,,
5,SVGPathBlock2,,2,3:1,,,,,,,,
6,SVGPathBlock2,,2,3:1,,,,,,,,
7,Network card,Azure 2015,2,3:1,,,,,,,NIC 0,
8,Network card,Azure 2015,2,3:1,,,,,,,BMC,
9,Network card,Azure 2015,2,3:1,,,,,,,NIC 0,
10,Network card,Azure 2015,2,3:1,,,,,,,BMC,
11,Network card,Azure 2015,2,3:1,,,,,,,NIC 0,
12,Network card,Azure 2015,2,3:1,,,,,,,BMC,
13,SVGPathBlock2,,2,3:1,,,,,,,,
14,SVGPathBlock2,,2,3:1,,,,,,,,
15,Swim Lane,Flowchart Shapes,2,3:1,31,,,,,,BMC Network,
16,Text,Standard,2,3:1|15:1,31,,,,,,"
VLAN: 2170
CIDR: 10.30.0.0/22
Gateway: 10.30.0.1",
17,Swim Lane,Flowchart Shapes,2,3:1,32,,,,,,Infra Baremetal Network,
18,Text,Standard,2,3:1|17:1,32,,,,,,"
VLAN: 2176
CIDR: 10.30.9.0/24
Gateway: 10.30.9.1",
19,Swim Lane,Flowchart Shapes,2,3:1,33,,,,,,Infra OCP Ctl 2,
20,Text,Standard,2,3:1|19:1,33,,,,,,"HostName:
 - ctl-2.nerc-ocp-infra
BMC HostName:
 - ctl-2-obm.nerc-ocp-infra
NIC 0:
 - 10.30.9.9
BMC:
 - 10.30.0.9
",
21,Swim Lane,Flowchart Shapes,2,3:1,34,,,,,,Infra OCP Ctl 1,
22,Text,Standard,2,3:1|21:1,34,,,,,,"HostName:
 - ctl-1.nerc-ocp-infra
BMC HostName:
 - ctl-1-obm.nerc-ocp-infra
NIC 0:
 - 10.30.9.8
BMC:
 - 10.30.0.8
",
23,Swim Lane,Flowchart Shapes,2,3:1,35,,,,,,Infra OCP Ctl 0,
24,Text,Standard,2,3:1|23:1,35,,,,,,"HostName:
 - ctl-0.nerc-ocp-infra
BMC HostName:
 - ctl-0-obm.nerc-ocp-infra
NIC 0:
 - 10.30.9.7
BMC:
 - 10.30.0.7
",
25,Line,,2,,,10,13,None,Arrow,,,
26,Line,,2,,,12,13,None,Arrow,,,
27,Line,,2,,,7,14,None,Arrow,,,
28,Line,,2,,,9,14,None,Arrow,,,
29,Line,,2,,,11,14,None,Arrow,,,
30,Line,,2,,,8,13,None,Arrow,,,
31,Group 1,,2,,,,,,,,,
32,Group 2,,2,,,,,,,,,
33,Group 3,,2,,,,,,,,,
34,Group 4,,2,,,,,,,,,
35,Group 5,,2,,,,,,,,,
36,Page,,,,,,,,,,Infra OpenShift Apps,
37,Swim Lane,Flowchart Shapes,36,,,,,,,,Infra Cluster,
38,Swim Lane,Flowchart Shapes,36,,,,,,,,Cluster Applications,
39,Swim Lane,Flowchart Shapes,36,38:1,,,,,,,ACM,
40,Swim Lane,Flowchart Shapes,36,38:1,,,,,,,ArgoCD,
41,Swim Lane,Flowchart Shapes,36,38:1,,,,,,,Grafana,
42,Swim Lane,Flowchart Shapes,36,38:1,,,,,,,Prometheus,
43,Swim Lane,Flowchart Shapes,36,38:1,,,,,,,Vault,
44,Swim Lane,Flowchart Shapes,36,,,,,,,,Details,
45,SVGPathBlock2,,36,37:1,,,,,,,,
46,SVGPathBlock2,,36,37:1,,,,,,,,
47,SVGPathBlock2,,36,37:1,,,,,,,,
48,Text,Standard,36,38:1|39:1,,,,,,,"URL: https://multicloud-console.apps.nerc-ocp-infra.rc.fas.harvard.edu/
API: https://api.nerc-ocp-infra.rc.fas.harvard.edu:6443
",
49,Text,Standard,36,38:1|40:1,,,,,,,"URL: https://openshift-gitops-server-openshift-gitops.apps.nerc-ocp-infra.rc.fas.harvard.edu/
",
50,Text,Standard,36,38:1|41:1,,,,,,,URL: https://grafana-openshift-monitoring.apps.nerc-ocp-infra.rc.fas.harvard.edu/,
51,Text,Standard,36,38:1|42:1,,,,,,,URL: https://prometheus-k8s-openshift-monitoring.apps.nerc-ocp-infra.rc.fas.harvard.edu/,
52,Text,Standard,36,38:1|43:1,,,,,,,URL: https://vault-ui-vault.apps.nerc-ocp-infra.rc.fas.harvard.edu/,
53,Text,Standard,36,44:1,,,,,,,"URL: https://console-openshift-console.apps.nerc-ocp-infra.rc.fas.harvard.edu/
API: https://api.nerc-ocp-infra.rc.fas.harvard.edu:6443",
54,Page,,,,,,,,,,Clusters,
55,Swim Lane,Flowchart Shapes,54,,,,,,,,Infra Cluster,
56,Swim Lane,Flowchart Shapes,54,,,,,,,,Production Cluster,
57,Swim Lane,Flowchart Shapes,54,,,,,,,,Test Cluster,
58,Swim Lane,Flowchart Shapes,54,56:1,,,,,,,Control Plane,
59,Swim Lane,Flowchart Shapes,54,55:1,,,,,,,Control Plane,
60,ImageSearchBlock2,Standard,54,55:1,,,,,,,,
61,ImageSearchBlock2,Standard,54,55:1,,,,,,,,
62,ImageSearchBlock2,Standard,54,55:1,,,,,,,,
63,User Image,User Images,54,55:1,,,,,,,,
64,ImageSearchBlock2,Standard,54,55:1,167,,,,,,,
65,Text,Standard,54,55:1,167,,,,,,ACM,
66,OpenShift,User Images,54,57:1,,,,,,,,
67,OpenShift,User Images,54,57:1,,,,,,,,
68,OpenShift,User Images,54,57:1,,,,,,,,
69,OpenShift,User Images,54,57:1,,,,,,,,
70,OpenShift,User Images,54,57:1,,,,,,,,
71,OpenShift,User Images,54,57:1,,,,,,,,
