host,node_role,cluster,manufacturer,model,serialnumber,sku,memory,processor_mode,processor_count,processor_cores,processor_cores_total,chassis_bay,mac_addresses
ctl-0.nerc-ocp-prod.rc.fas.harvard.edu,openshift_controller,nerc-ocp-prod,Lenovo,ThinkSystem SD530,J1016RCC,7X21CTOLWW,384,Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz,2,24,48,1,"0a:94:ef:b5:70:9d,08:94:EF:B5:76:88,08:94:EF:B5:76:89,0C:42:A1:5F:9D:18,0C:42:A1:5F:9D:19"
ctl-1.nerc-ocp-prod.rc.fas.harvard.edu,openshift_controller,nerc-ocp-prod,Lenovo,ThinkSystem SD530,J1016RCD,7X21CTOLWW,384,Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz,2,24,48,4,"0a:94:ef:ab:4a:4d,08:94:EF:AB:4F:A6,08:94:EF:AB:4F:A7,0C:42:A1:5F:AA:94,0C:42:A1:5F:AA:95"
ctl-2.nerc-ocp-prod.rc.fas.harvard.edu,openshift_controller,nerc-ocp-prod,Lenovo,ThinkSystem SD530,J1016RCH,7X2106Z000,384,Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz,2,24,48,2,"0a:94:ef:b2:f1:9b,08:94:EF:B2:F7:66,08:94:EF:B2:F7:67,0C:42:A1:5F:B1:A0,0C:42:A1:5F:B1:A1"
wrk-0.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300869006P,H9T31Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:91:AD,50:9A:4C:91:91:AF"
wrk-1.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300869006V,H9S51Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:96:81,50:9A:4C:91:96:83"
wrk-2.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300869002V,H9T01Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:91:49,50:9A:4C:91:91:4B"
wrk-3.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300869001A,H9T11Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:90:91,50:9A:4C:91:90:93"
wrk-4.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300869004T,H9T41Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:91:79,50:9A:4C:91:91:7B"
wrk-5.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N007O,JVC9HH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:98:36:B4:BF:05,10:98:36:B4:BF:07"
wrk-6.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS3008690033,H9SZ0Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:97:09,50:9A:4C:91:97:0B"
wrk-7.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS300869008C,H9T21Q2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"50:9A:4C:91:95:B5,50:9A:4C:91:95:B7"
wrk-8.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N000B,JVC7KH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9C:79:C1,10:7D:1A:9C:79:C4"
wrk-9.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N00FN,JVC6KH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9C:7A:AF,10:7D:1A:9C:7A:B2"
